timestamp,open,high,low,close,volume,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume
1694556000000.0,1.0349,1.0349,1.03,1.0301,363805.0,375392.8499,1605.0,130916.0,135077.9609
1694556180000.0,1.03,1.03,1.0252,1.0269,474054.0,487105.7313,1798.0,156790.0,161104.0127
1694556360000.0,1.027,1.0278,1.0245,1.026,196479.0,201624.7994,1088.0,91377.0,93774.1444
1694556540000.0,1.0261,1.0274,1.0255,1.0264,139034.0,142697.4344,880.0,73711.0,75655.4898
1694556720000.0,1.0263,1.0294,1.0257,1.0269,180365.0,185363.6953,1042.0,92352.0,94924.0028
1694556900000.0,1.0269,1.0281,1.0261,1.0277,108475.0,111436.6332,647.0,58309.0,59905.2255
1694557080000.0,1.0277,1.0315,1.0275,1.0313,196028.0,201785.0714,945.0,142159.0,146339.7556
1694557260000.0,1.0314,1.0315,1.0256,1.0278,238424.0,245254.8233,1254.0,75944.0,78088.096
1694557440000.0,1.0278,1.029,1.0266,1.0275,171039.0,175729.5738,998.0,75931.0,78023.5795
1694557620000.0,1.0274,1.0276,1.0249,1.0258,133042.0,136516.1873,718.0,43297.0,44435.3605
1694557800000.0,1.0258,1.0265,1.023,1.0241,251689.0,257883.1639,1279.0,136510.0,139882.8765
1694557980000.0,1.0241,1.0247,1.0206,1.0242,280999.0,287373.2447,1387.0,125717.0,128603.6913
1694558160000.0,1.0243,1.0256,1.0223,1.0232,175178.0,179359.1973,897.0,85813.0,87879.8704
1694558340000.0,1.0233,1.0243,1.0221,1.0226,107590.0,110075.4676,610.0,47713.0,48816.9202
1694558520000.0,1.0227,1.0231,1.0215,1.0222,102600.0,104890.0021,622.0,43915.0,44895.4842
1694558700000.0,1.0223,1.0227,1.021,1.0219,130752.0,133586.9331,653.0,50634.0,51730.1334
1694558880000.0,1.022,1.023,1.0211,1.0222,106945.0,109316.2358,704.0,53356.0,54540.7931
1694559060000.0,1.0222,1.0233,1.0212,1.0226,106865.0,109223.976,699.0,44811.0,45803.0398
1694559240000.0,1.0226,1.023,1.0202,1.0204,107200.0,109517.9716,658.0,33404.0,34131.923
1694559420000.0,1.0206,1.0209,1.0186,1.0195,295715.0,301580.3171,1159.0,137877.0,140639.6584
1694559600000.0,1.0193,1.0203,1.0169,1.0199,300983.0,306563.5642,1456.0,122401.0,124704.683
1694559780000.0,1.02,1.0201,1.015,1.0155,337693.0,343472.154,1903.0,136373.0,138737.4397
1694559960000.0,1.0155,1.0183,1.0154,1.0177,205117.0,208646.9254,1022.0,113825.0,115786.1743
1694560140000.0,1.0177,1.0187,1.0146,1.0156,359731.0,365623.1096,2104.0,155364.0,157927.2308
1694560320000.0,1.0156,1.0163,1.0137,1.015,247035.0,250711.3392,1334.0,97978.0,99439.2506
1694560500000.0,1.015,1.0169,1.0137,1.0146,211461.0,214675.4061,1255.0,97658.0,99147.2746
1694560680000.0,1.0147,1.0173,1.0144,1.0165,152360.0,154770.1361,876.0,102780.0,104417.2109
1694560860000.0,1.0165,1.0192,1.0165,1.0166,201175.0,204775.6825,1203.0,118069.0,120195.4144
1694561040000.0,1.0167,1.0167,1.013,1.0135,235463.0,238891.1317,1247.0,57013.0,57855.5136
1694561220000.0,1.0135,1.015,1.0129,1.0134,150969.0,153066.0949,902.0,59583.0,60420.9866
1694561400000.0,1.0135,1.0136,1.0086,1.0123,365754.0,369786.837,2011.0,134364.0,135867.0756
1694561580000.0,1.0122,1.0139,1.0121,1.0132,161936.0,164056.3838,968.0,95196.0,96442.5548
1694561760000.0,1.0133,1.0174,1.013,1.0154,257571.0,261539.1858,1162.0,204526.0,207698.4457
1694561940000.0,1.0154,1.0162,1.0128,1.0149,209125.0,212229.4266,1004.0,88064.0,89349.3995
